,,group,reference,name,stat,meanchange,pval,padj,cell_type
CD4 Naive,141,IL-6 control,DMSO control,JAK-STAT,44.246551334438806,0.7088094274717548,0.0,0.0,CD4 Naive
CD4 Naive,142,IL-6 control,DMSO control,EGFR,43.50664395228479,0.6653483825818238,0.0,0.0,CD4 Naive
CD4 Naive,143,IL-6 control,DMSO control,MAPK,42.359018976627056,0.598672990949555,0.0,0.0,CD4 Naive
CD4 Naive,144,IL-6 control,DMSO control,VEGF,33.874964950854626,0.48276152492871294,1.5572103360595444e-251,4.360188940966724e-251,CD4 Naive
CD4 Naive,145,IL-6 control,DMSO control,Androgen,31.17318220932109,0.43826046934940177,2.4610899668658273e-213,5.742543256020264e-213,CD4 Naive
CD4 Naive,146,IL-6 control,DMSO control,Hypoxia,-30.635304215014262,-0.5628321430188756,4.147848941956413e-206,8.295697883912826e-206,CD4 Naive
CD4 Naive,147,IL-6 control,DMSO control,PI3K,29.246982593320766,0.4562398941384527,4.905066489783457e-188,8.58386635712105e-188,CD4 Naive
CD4 Naive,148,IL-6 control,DMSO control,TGFb,22.21824831833377,0.21343545645877715,2.28822201190667e-109,3.5594564629659312e-109,CD4 Naive
CD4 Naive,149,IL-6 control,DMSO control,WNT,-15.032470864544992,-0.13051353596910698,4.499059225757472e-51,6.29868291606046e-51,CD4 Naive
CD4 Naive,150,IL-6 control,DMSO control,p53,-12.179913960828408,-0.15769770790530835,3.9770118765268274e-34,5.061651479215962e-34,CD4 Naive
CD4 Naive,151,IL-6 control,DMSO control,TNFa,-10.486140065245202,-0.15911888304359856,1.0003186559902771e-25,1.1670384319886567e-25,CD4 Naive
CD4 Naive,152,IL-6 control,DMSO control,NFkB,2.170763895750179,0.03371049801387227,0.029949024419356124,0.03225279552853736,CD4 Naive
CD4 Naive,153,IL-6 control,DMSO control,Trail,-1.5279740672104236,-0.009309993996606702,0.12651897677244922,0.12651897677244922,CD4 Naive
CD4 Naive,154,NVP-BSK805,DMSO control,EGFR,38.82221481344996,0.613456934871583,0.0,0.0,CD4 Naive
CD4 Naive,155,NVP-BSK805,DMSO control,MAPK,37.3708130169586,0.528371541388799,1.1644215945311693e-305,8.150951161718185e-305,CD4 Naive
CD4 Naive,156,NVP-BSK805,DMSO control,JAK-STAT,-34.95021688899859,-0.5203562184481658,1.285125685649912e-267,5.99725319969959e-267,CD4 Naive
CD4 Naive,157,NVP-BSK805,DMSO control,TGFb,24.701297874127697,0.2451831739671949,1.0356867352157875e-134,3.624903573255256e-134,CD4 Naive
CD4 Naive,158,NVP-BSK805,DMSO control,PI3K,20.339842777534447,0.3176816477209168,5.7113231002074533e-92,1.5991704680580868e-91,CD4 Naive
CD4 Naive,159,NVP-BSK805,DMSO control,NFkB,19.288459810876972,0.30447172893952645,6.714392959868832e-83,1.566691690636061e-82,CD4 Naive
CD4 Naive,160,NVP-BSK805,DMSO control,Estrogen,18.568472383578708,0.24123278776793278,5.782480668901752e-77,1.1564961337803503e-76,CD4 Naive
CD4 Naive,161,NVP-BSK805,DMSO control,Hypoxia,17.005020175942644,0.30837896278341437,7.5379233738714745e-65,1.319136590427508e-64,CD4 Naive
CD4 Naive,162,NVP-BSK805,DMSO control,VEGF,13.230544799579645,0.19174464249795786,5.846206569281943e-40,9.094099107771911e-40,CD4 Naive
CD4 Naive,163,NVP-BSK805,DMSO control,Androgen,13.048880130800097,0.1799582381928192,6.448835298072145e-39,9.028369417301003e-39,CD4 Naive
CD4 Naive,164,NVP-BSK805,DMSO control,TNFa,7.787750130979722,0.11827941099240302,6.8212909278330755e-15,8.681642999060277e-15,CD4 Naive
CD4 Naive,165,NVP-BSK805,DMSO control,p53,-7.3412364496019595,-0.09774814117032093,2.1162954809189382e-13,2.469011394405428e-13,CD4 Naive
CD4 Naive,166,NVP-BSK805,DMSO control,WNT,-4.518592142791061,-0.04454204952070584,6.22521809005396e-06,6.70408102005811e-06,CD4 Naive
CD4 Naive,167,NVP-BSK805,DMSO control,Trail,3.410093432538072,0.03832006609552163,0.0006494062798890458,0.0006494062798890458,CD4 Naive
CD4 Naive,168,Baricitinib phosphate,DMSO control,JAK-STAT,-46.320773388409116,-0.6962169355829306,0.0,0.0,CD4 Naive
CD4 Naive,169,Baricitinib phosphate,DMSO control,MAPK,23.269363167187795,0.31889223195986904,9.059488818320871e-120,6.34164217282461e-119,CD4 Naive
CD4 Naive,170,Baricitinib phosphate,DMSO control,EGFR,20.752935919397324,0.31738141142188825,1.1532932640540494e-95,5.382035232252231e-95,CD4 Naive
CD4 Naive,171,Baricitinib phosphate,DMSO control,PI3K,14.352098545156972,0.22437273170012628,1.033615872580462e-46,3.617655554031617e-46,CD4 Naive
CD4 Naive,172,Baricitinib phosphate,DMSO control,TNFa,-11.600690777496393,-0.1711507373628074,4.08765360233048e-31,1.1445430086525343e-30,CD4 Naive
CD4 Naive,173,Baricitinib phosphate,DMSO control,Trail,-9.40602722852941,-0.09550871619423396,5.1524423958614234e-21,1.2022365590343323e-20,CD4 Naive
CD4 Naive,174,Baricitinib phosphate,DMSO control,NFkB,-7.4231949714291385,-0.11066516376711227,1.1432828358016591e-13,2.2865656716033183e-13,CD4 Naive
CD4 Naive,175,Baricitinib phosphate,DMSO control,VEGF,6.786758949364701,0.09807585005732777,1.14680577249481e-11,2.0069101018659175e-11,CD4 Naive
CD4 Naive,176,Baricitinib phosphate,DMSO control,Estrogen,6.712242057792913,0.08799159638228149,1.9165640861916214e-11,2.9813219118536334e-11,CD4 Naive
CD4 Naive,177,Baricitinib phosphate,DMSO control,TGFb,6.56399875851207,0.06639721766016915,5.238363772664837e-11,7.333709281730771e-11,CD4 Naive
CD4 Naive,178,Baricitinib phosphate,DMSO control,p53,-3.616927851479509,-0.04542395694707024,0.00029812035662263986,0.00037942590842881434,CD4 Naive
